Total cuatrimestres plan,Segundos tiempo de generación,Total Materias disponibles,Total Cursos disponibles,Max cantidad materias por cuatrimestre,Algoritmo
2,0.46,21,36,2,GREEDY
4,1.29,25,40,2,GREEDY
7,3.88,30,54,2,GREEDY
10,10.10,35,68,2,GREEDY
12,13.39,39,77,2,GREEDY
13,15.42,42,84,2,GREEDY
15,23.19,45,140,2,GREEDY
2,1.29,21,36,3,GREEDY
3,3.43,25,40,3,GREEDY
5,10.65,30,54,3,GREEDY
7,33.85,35,68,3,GREEDY
8,41.13,39,77,3,GREEDY
9,42.37,42,84,3,GREEDY
10,29.84,45,140,3,GREEDY
2,0.03,21,36,4,GREEDY
3,0.32,25,40,4,GREEDY
5,0.66,30,54,4,GREEDY
5,0.37,35,68,4,GREEDY
7,1.62,39,77,4,GREEDY
8,1.30,42,84,4,GREEDY
9,0.86,45,140,4,GREEDY
1,0.0036,21,36,5,GREEDY
3,0.01,25,40,5,GREEDY
4,0.01,30,54,5,GREEDY
5,0.01,35,68,5,GREEDY
8,0.11,39,77,5,GREEDY
9,0.06,42,84,5,GREEDY
10,0.06,45,140,5,GREEDY
2,9.12,21,36,2,PLE
2,9.58,21,36,2,PLE
4,11.63,25,40,2,PLE
4,11.62,25,40,2,PLE
7,18.11,30,54,2,PLE
9,32.6,35,68,2,PLE
9,33.11,35,68,2,PLE
11,71.55,39,77,2,PLE
13,50.26,42,84,2,PLE
14,190.8,45,140,2,PLE
2,9.39,21,36,3,PLE
3,11.76,25,40,3,PLE
5,18.74,30,54,3,PLE
6,31.46,35,68,3,PLE
8,53.88,39,77,3,PLE
9,77.01,42,84,3,PLE
10,251.13,45,140,3,PLE
1,9.43,21,36,4,PLE
3,10.27,25,40,4,PLE
4,17.97,30,54,4,PLE
5,32.43,35,68,4,PLE
6,34.83,39,77,4,PLE
7,722.54,42,84,4,PLE
7,1116.93,42,84,4,PLE
7,168.80,45,140,4,PLE
7,214.3,45,140,4,PLE
1,9.88,21,36,5,PLE
2,9.98,25,40,5,PLE
3,17.82,30,54,5,PLE
4,33.74,35,68,5,PLE
5,35.61,39,77,5,PLE
6,96.87,42,84,5,PLE
7,194.85,45,140,5,PLE
7,190.57,45,140,5,PLE
